,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1,electricity_demand2
0,2023-01-02 00:00:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817937,0.1332,0.0,8.03
1,2023-01-02 00:15:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817937,0.1332,0.0,8.03
2,2023-01-02 00:30:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
3,2023-01-02 00:45:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
4,2023-01-02 01:00:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817937,0.1332,0.0,8.03
5,2023-01-02 01:15:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
6,2023-01-02 01:30:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
7,2023-01-02 01:45:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
8,2023-01-02 02:00:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
9,2023-01-02 02:15:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
10,2023-01-02 02:30:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
11,2023-01-02 02:45:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
12,2023-01-02 03:00:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
13,2023-01-02 03:15:00,1744.019632034112,120.15,1727.6889885441533,119.31647784817939,0.1332,0.0,8.03
14,2023-01-02 03:30:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
15,2023-01-02 03:45:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
16,2023-01-02 04:00:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
17,2023-01-02 04:15:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
18,2023-01-02 04:30:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
19,2023-01-02 04:45:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817937,0.1332,0.0,8.03
20,2023-01-02 05:00:00,1744.019632034112,120.15,1727.6889885441533,119.31647784817937,0.1332,0.0,8.03
21,2023-01-02 05:15:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817937,0.1332,0.0,8.03
22,2023-01-02 05:30:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
23,2023-01-02 05:45:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
24,2023-01-02 06:00:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
25,2023-01-02 06:15:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
26,2023-01-02 06:30:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
27,2023-01-02 06:45:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
28,2023-01-02 07:00:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
29,2023-01-02 07:15:00,1744.019632034112,120.15,1727.6889885441537,119.31647784817939,0.1332,0.0,8.03
30,2023-01-02 07:30:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817939,0.1332,0.0,8.03
31,2023-01-02 07:45:00,1744.019632034112,120.15,1727.6889885441535,119.31647784817937,0.1332,0.0,8.03
32,2023-01-02 08:00:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
33,2023-01-02 08:15:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
34,2023-01-02 08:30:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
35,2023-01-02 08:45:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
36,2023-01-02 09:00:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
37,2023-01-02 09:15:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
38,2023-01-02 09:30:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
39,2023-01-02 09:45:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
40,2023-01-02 10:00:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
41,2023-01-02 10:15:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
42,2023-01-02 10:30:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
43,2023-01-02 10:45:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
44,2023-01-02 11:00:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
45,2023-01-02 11:15:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
46,2023-01-02 11:30:00,1744.019632034112,120.15,1907.0983508950856,128.15261996905872,0.09081,0.0,8.03
