,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1,electricity_demand2
0,2023-01-02 00:00:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
1,2023-01-02 00:15:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
2,2023-01-02 00:30:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
3,2023-01-02 00:45:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
4,2023-01-02 01:00:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
5,2023-01-02 01:15:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
6,2023-01-02 01:30:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
7,2023-01-02 01:45:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
8,2023-01-02 02:00:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
9,2023-01-02 02:15:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
10,2023-01-02 02:30:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
11,2023-01-02 02:45:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
12,2023-01-02 03:00:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
13,2023-01-02 03:15:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
14,2023-01-02 03:30:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
15,2023-01-02 03:45:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
16,2023-01-02 04:00:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
17,2023-01-02 04:15:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
18,2023-01-02 04:30:00,1744.019632034112,120.15,1927.2048327333719,129.1012872700079,0.05413,0.0,5.33
19,2023-01-02 04:45:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
20,2023-01-02 05:00:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
21,2023-01-02 05:15:00,1744.019632034112,120.15,1927.2048327333719,129.1012872700079,0.05413,0.0,5.33
22,2023-01-02 05:30:00,1744.019632034112,120.15,1927.2048327333719,129.1012872700079,0.05413,0.0,5.33
23,2023-01-02 05:45:00,1744.019632034112,120.15,1927.2048327333719,129.1012872700079,0.05413,0.0,5.33
24,2023-01-02 06:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.07793,7.14,5.33
25,2023-01-02 06:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.07793,7.14,5.33
26,2023-01-02 06:30:00,1744.019632034112,120.15,213.60000000000002,0.0,0.07793,7.14,5.33
27,2023-01-02 06:45:00,1744.019632034112,120.15,213.60000000000002,3.7479717538066525e-53,0.07793,7.14,5.33
28,2023-01-02 07:00:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
29,2023-01-02 07:15:00,1744.019632034112,120.15,213.60000000000002,3.7479717538066525e-53,0.07793,7.14,5.33
30,2023-01-02 07:30:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
31,2023-01-02 07:45:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
32,2023-01-02 08:00:00,1744.019632034112,120.15,213.60000000000002,3.7479717538066525e-53,0.07793,7.14,5.33
33,2023-01-02 08:15:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
34,2023-01-02 08:30:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
35,2023-01-02 08:45:00,1744.019632034112,120.15,213.60000000000002,3.7479717538066525e-53,0.07793,7.14,5.33
36,2023-01-02 09:00:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
37,2023-01-02 09:15:00,1744.019632034112,120.15,213.60000000000002,7.856058747940974e-52,0.07793,7.14,5.33
38,2023-01-02 09:30:00,1744.019632034112,120.15,213.60000000000002,3.7479717538066525e-53,0.07793,7.14,5.33
39,2023-01-02 09:45:00,1744.019632034112,120.15,213.60000000000002,3.7479717538066525e-53,0.07793,7.14,5.33
40,2023-01-02 10:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.05413,0.0,5.33
41,2023-01-02 10:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.05413,0.0,5.33
42,2023-01-02 10:30:00,1744.019632034112,120.15,213.60000000000002,5.9409886237414525e-52,0.05413,0.0,5.33
43,2023-01-02 10:45:00,1744.019632034112,120.15,1277.007236986561,0.0,0.05413,0.0,5.33
44,2023-01-02 11:00:00,1744.019632034112,120.15,1277.0072369865613,0.0,0.05413,0.0,5.33
45,2023-01-02 11:15:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
46,2023-01-02 11:30:00,1744.019632034112,120.15,1927.2048327333716,129.10128727000793,0.05413,0.0,5.33
