,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1,electricity_demand2,electricity_demand3
0,2023-07-03 00:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
1,2023-07-03 00:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
2,2023-07-03 00:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
3,2023-07-03 00:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
4,2023-07-03 01:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
5,2023-07-03 01:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
6,2023-07-03 01:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
7,2023-07-03 01:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
8,2023-07-03 02:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
9,2023-07-03 02:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
10,2023-07-03 02:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
11,2023-07-03 02:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
12,2023-07-03 03:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
13,2023-07-03 03:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
14,2023-07-03 03:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
15,2023-07-03 03:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
16,2023-07-03 04:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
17,2023-07-03 04:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
18,2023-07-03 04:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
19,2023-07-03 04:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
20,2023-07-03 05:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
21,2023-07-03 05:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
22,2023-07-03 05:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
23,2023-07-03 05:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
24,2023-07-03 06:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
25,2023-07-03 06:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
26,2023-07-03 06:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
27,2023-07-03 06:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
28,2023-07-03 07:00:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
29,2023-07-03 07:15:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
30,2023-07-03 07:30:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
31,2023-07-03 07:45:00,1744.019632034112,120.15,2046.6282734270803,134.57890627247517,0.037473333,0.0,0.0,16.66
32,2023-07-03 08:00:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
33,2023-07-03 08:15:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
34,2023-07-03 08:30:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
35,2023-07-03 08:45:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
36,2023-07-03 09:00:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
37,2023-07-03 09:15:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
38,2023-07-03 09:30:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
39,2023-07-03 09:45:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
40,2023-07-03 10:00:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
41,2023-07-03 10:15:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
42,2023-07-03 10:30:00,1744.019632034112,120.15,1550.370832122811,109.8436363150221,0.049901949,18.44,9.15,16.66
