,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1
0,2023-01-01 00:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
1,2023-01-01 00:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
2,2023-01-01 00:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
3,2023-01-01 00:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
4,2023-01-01 01:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
5,2023-01-01 01:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
6,2023-01-01 01:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
7,2023-01-01 01:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
8,2023-01-01 02:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
9,2023-01-01 02:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
10,2023-01-01 02:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
11,2023-01-01 02:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
12,2023-01-01 03:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
13,2023-01-01 03:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
14,2023-01-01 03:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
15,2023-01-01 03:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
16,2023-01-01 04:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
17,2023-01-01 04:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
18,2023-01-01 04:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
19,2023-01-01 04:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
20,2023-01-01 05:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
21,2023-01-01 05:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
22,2023-01-01 05:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
23,2023-01-01 05:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
24,2023-01-01 06:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
25,2023-01-01 06:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
26,2023-01-01 06:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
27,2023-01-01 06:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
28,2023-01-01 07:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
29,2023-01-01 07:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
30,2023-01-01 07:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
31,2023-01-01 07:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
32,2023-01-01 08:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
33,2023-01-01 08:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
34,2023-01-01 08:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
35,2023-01-01 08:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
36,2023-01-01 09:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
37,2023-01-01 09:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
38,2023-01-01 09:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
39,2023-01-01 09:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
40,2023-01-01 10:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
41,2023-01-01 10:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
42,2023-01-01 10:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
43,2023-01-01 10:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
44,2023-01-01 11:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
45,2023-01-01 11:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
46,2023-01-01 11:30:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
47,2023-01-01 11:45:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
48,2023-01-01 12:00:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
49,2023-01-01 12:15:00,1744.019632034112,120.15,1744.0196084551267,120.1499988009628,0.0446782,4.21
