DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW,electricity_TOU,electricity_demand1
2021-07-02 00:00:00,106.43863113896096,74.3884063810103,0.05413,5.33
2021-07-02 01:00:00,107.7734358828182,107.73839678857097,0.05413,5.33
2021-07-02 02:00:00,107.06760216385662,90.30800789216428,0.05413,5.33
2021-07-02 03:00:00,90.2567446794392,106.58642196898867,0.05413,5.33
2021-07-02 04:00:00,80.33058542087886,64.32315935068168,0.05413,5.33
2021-07-02 05:00:00,58.35880953089501,80.37396960340418,0.05413,5.33
2021-07-02 06:00:00,80.38349295507551,58.48770818798525,0.05413,5.33
2021-07-02 07:00:00,58.47992203814479,74.50283363071414,0.05413,5.33
2021-07-02 08:00:00,74.43755748436648,47.90919437730879,0.05413,5.33
2021-07-02 09:00:00,47.94964753868955,74.36287277792941,0.05413,5.33
2021-07-02 10:00:00,74.59111426865474,74.5431976401566,0.05413,5.33
2021-07-02 11:00:00,74.7335966451448,74.7501790152152,0.05413,5.33
2021-07-02 12:00:00,74.86328890734512,58.9239291753303,0.05413,5.33
2021-07-02 13:00:00,74.87462845750997,74.87986133178171,0.05413,5.33
2021-07-02 14:00:00,59.00216247500031,74.92484684795389,0.05413,5.33
2021-07-02 15:00:00,74.78038350921005,58.85479826211532,0.05413,5.33
2021-07-02 16:00:00,58.5513628668479,74.48440622597803,0.05413,5.33
2021-07-02 17:00:00,47.79421623461083,47.8352802091992,0.05413,5.33
2021-07-02 18:00:00,112.5345810979245,90.6812248446771,0.05413,5.33
2021-07-02 19:00:00,47.806768881180105,102.3310846883725,0.05413,5.33
2021-07-02 20:00:00,90.41869415218726,90.40269014873692,0.05413,5.33
2021-07-02 21:00:00,79.90418158575795,86.08029454408258,0.05413,5.33
2021-07-02 22:00:00,113.93646622995728,91.74971661305304,0.05413,5.33
2021-07-02 23:00:00,87.63063881843247,103.70480975085836,0.05413,5.33
