,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1
0,2023-07-01 00:00:00,1744.019632034112,120.15,1770.6406572140709,121.495664667446,0.037473333,16.66
1,2023-07-01 00:15:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562821,0.037473333,16.66
2,2023-07-01 00:30:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562823,0.037473333,16.66
3,2023-07-01 00:45:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562823,0.037473333,16.66
4,2023-07-01 01:00:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562821,0.037473333,16.66
5,2023-07-01 01:15:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562821,0.037473333,16.66
6,2023-07-01 01:30:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562821,0.037473333,16.66
7,2023-07-01 01:45:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563117,0.037473333,16.66
8,2023-07-01 02:00:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563113,0.037473333,16.66
9,2023-07-01 02:15:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563116,0.037473333,16.66
10,2023-07-01 02:30:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563114,0.037473333,16.66
11,2023-07-01 02:45:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563111,0.037473333,16.66
12,2023-07-01 03:00:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563118,0.037473333,16.66
13,2023-07-01 03:15:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563114,0.037473333,16.66
14,2023-07-01 03:30:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563116,0.037473333,16.66
15,2023-07-01 03:45:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563117,0.037473333,16.66
16,2023-07-01 04:00:00,1744.019632034112,120.15,1770.6406572140706,121.49564571563117,0.037473333,16.66
17,2023-07-01 04:15:00,1744.019632034112,120.15,1770.6406572140706,121.49564571562821,0.037473333,16.66
18,2023-07-01 04:30:00,1744.019632034112,120.15,1770.6406572140706,121.49564571550631,0.037473333,16.66
19,2023-07-01 04:45:00,1744.019632034112,120.15,1770.6406572140706,121.49564571550631,0.037473333,16.66
