DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW
2020-07-01 00:00:00,1193.26062,1193.260619514468
2020-07-01 00:15:00,1225.8977050000003,1225.8977045320344
2020-07-01 00:30:00,1188.414062,1188.414061562523
2020-07-01 00:45:00,1167.526857,1167.5268566018362
2020-07-01 01:00:00,1172.375,1172.37499964559
2020-07-01 01:15:00,1122.602536,1122.602535691198
2020-07-01 01:30:00,1142.7490240000002,1142.7490237378568
2020-07-01 01:45:00,1137.61426,1137.614259781713
2020-07-01 02:00:00,1115.568848,1115.5688478220318
2020-07-01 02:15:00,1092.6831040000002,1092.683103858598
2020-07-01 02:30:00,1089.8208000000002,1089.820799891264
2020-07-01 02:45:00,1079.749512,1079.7495119201983
2020-07-01 03:00:00,1064.109376,1064.1093759456392
2020-07-01 03:15:00,1048.104492,1048.1044919679823
2020-07-01 03:30:00,1065.668944,1065.668943987428
2020-07-01 03:45:00,1056.81836,1056.8183600043822
2020-07-01 04:00:00,1046.4238280000002,1046.4238280192403
2020-07-01 04:15:00,1046.775392,1046.7753920324049
2020-07-01 04:30:00,1060.2509760000005,1060.2509760443013
2020-07-01 04:45:00,1052.493164,1052.4931640552916
2020-07-01 05:00:00,1043.476564,1043.47656406575
2020-07-01 05:15:00,1055.926756,1055.926756076008
2020-07-01 05:30:00,1045.9834000000003,1045.9834000863814
2020-07-01 05:45:00,1044.3183600000002,1044.3183600971472
2020-07-01 06:00:00,1022.843748,1022.8437481084452
2020-07-01 06:15:00,1041.390624,1041.3906241203565
2020-07-01 06:30:00,1031.40918,1031.409180132852
2020-07-01 06:45:00,1034.247072,1034.24707214583
2020-07-01 07:00:00,1048.2519519999998,1048.2519521589195
2020-07-01 07:15:00,1064.847656,1064.847656171596
2020-07-01 07:30:00,1111.474608,1111.4746081830422
2020-07-01 07:45:00,1137.39844,1137.398440192169
2020-07-01 08:00:00,1173.142576,1173.1425761974826
2020-07-01 08:15:00,1237.917972,1237.917972197792
2020-07-01 08:30:00,1172.79492,1172.79492019175
2020-07-01 08:45:00,1157.83008,1157.8300801752862
2020-07-01 09:00:00,1172.728512,1172.7285121426553
2020-07-01 09:15:00,1238.664064,1238.664064078491
2020-07-01 09:30:00,1208.9570320000005,1208.9570321860226
2020-07-01 09:45:00,1229.873048,1229.8730482287203
2020-07-01 10:00:00,1211.2089840000003,1211.2089842309706
2020-07-01 10:15:00,1243.68164,1243.6816401756382
2020-07-01 10:30:00,1291.166016,1275.543024733311
2020-07-01 10:45:00,1222.808592,1206.8995697908254
2020-07-01 11:00:00,1271.542968,1238.6640641025483
2020-07-01 11:15:00,1294.849612,1238.6640641023428
2020-07-01 11:30:00,1300.708984,1234.6640641265362
2020-07-01 11:45:00,1257.628904,1238.6640640822814
2020-07-01 12:00:00,1255.099612,1236.241129829407
2020-07-01 12:15:00,1300.521484,1234.6640641262334
2020-07-01 12:30:00,1280.201172,1236.256896030785
2020-07-01 12:45:00,1282.703124,1238.6640641226045
2020-07-01 13:00:00,1238.1015640000005,1196.9612703382106
2020-07-01 13:15:00,1275.9511720000005,1234.6640640668518
2020-07-01 13:30:00,1281.2480440000002,1238.6640641256704
2020-07-01 13:45:00,1246.3144560000003,1213.256636135389
2020-07-01 14:00:00,1267.5429680000002,1234.6640641210415
2020-07-01 14:15:00,1245.875,1238.66406409654
2020-07-01 14:30:00,1216.980468,1215.5809347868892
2020-07-01 14:45:00,1239.347656,1238.6640641199745
2020-07-01 15:00:00,1214.609376,1228.2582034159102
2020-07-01 15:15:00,1224.3125000000002,1238.6640641190802
2020-07-01 15:30:00,1203.26172,1218.5085907585865
2020-07-01 15:45:00,1219.035156,1234.664064118408
2020-07-01 16:00:00,1194.8125000000002,1218.9129293985309
2020-07-01 16:15:00,1214.1875,1238.664064117604
2020-07-01 16:30:00,1210.4375000000002,1238.6640640894589
2020-07-01 16:45:00,1195.421872,1234.664063899554
2020-07-01 17:00:00,1186.125,1225.822459970109
2020-07-01 17:15:00,1218.5507840000002,1238.6640640845717
2020-07-01 17:30:00,1222.636716,1234.664064123618
2020-07-01 17:45:00,1220.48048,1238.6640633490772
2020-07-01 18:00:00,1202.82812,1220.8232443855222
2020-07-01 18:15:00,1228.8242000000002,1234.6640641113777
2020-07-01 18:30:00,1233.12112,1238.6303553352568
2020-07-01 18:45:00,1262.43748,1238.6640641212573
2020-07-01 19:00:00,1239.5586,1215.094639988297
2020-07-01 19:15:00,1256.59764,1231.4144812127647
2020-07-01 19:30:00,1266.8594,1238.6640641190138
2020-07-01 19:45:00,1264.83984,1236.1938514191736
2020-07-01 20:00:00,1260.64452,1231.6588001625703
2020-07-01 20:15:00,1319.4882800000005,1238.6640641214412
2020-07-01 20:30:00,1291.80468,1225.284298708643
2020-07-01 20:45:00,1305.99612,1238.664063838774
2020-07-01 21:00:00,1261.66796,1193.761806854643
2020-07-01 21:15:00,1326.9882799999996,1238.6640641203812
2020-07-01 21:30:00,1301.61328,1255.9316076987157
2020-07-01 21:45:00,1279.96876,1234.6640640943267
2020-07-01 22:00:00,1273.40624,1256.6568111855229
2020-07-01 22:15:00,1281.6445200000005,1265.7698841845036
2020-07-01 22:30:00,1249.6758,1234.664064106828
2020-07-01 22:45:00,1245.01172,1238.6640640218434
2020-07-01 23:00:00,1229.01172,1240.6794453115892
2020-07-01 23:15:00,1220.1646730000002,1232.610955816376
2020-07-01 23:30:00,1215.9248050000003,1228.965400881512
2020-07-01 23:45:00,1213.133667,1226.664064107643
