,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1
0,2023-01-01 00:00:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
1,2023-01-01 00:15:00,1744.019632034112,120.15,213.6000019190082,1.2573400880241295e-07,0.03822,2.33454
2,2023-01-01 00:30:00,1744.019632034112,120.15,213.60000191900758,1.2573396696920447e-07,0.03822,2.33454
3,2023-01-01 00:45:00,1744.019632034112,120.15,213.60000191900915,1.2573407156074327e-07,0.03822,2.33454
4,2023-01-01 01:00:00,1744.019632034112,120.15,213.60000191900758,1.2573396697025826e-07,0.03822,2.33454
5,2023-01-01 01:15:00,1744.019632034112,120.15,213.60000191900852,1.2573402972368394e-07,0.03822,2.33454
6,2023-01-01 01:30:00,1744.019632034112,120.15,213.60000191900883,1.2573405064629784e-07,0.03822,2.33454
7,2023-01-01 01:45:00,1744.019632034112,120.15,213.60000191900946,1.2573409248071893e-07,0.03822,2.33454
8,2023-01-01 02:00:00,1744.019632034112,120.15,213.60000191900852,1.2573402972771857e-07,0.03822,2.33454
9,2023-01-01 02:15:00,1744.019632034112,120.15,213.60000191900758,1.257339669675839e-07,0.03822,2.33454
10,2023-01-01 02:30:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
11,2023-01-01 02:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
12,2023-01-01 03:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
13,2023-01-01 03:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
14,2023-01-01 03:30:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
15,2023-01-01 03:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
16,2023-01-01 04:00:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
17,2023-01-01 04:15:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
18,2023-01-01 04:30:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
19,2023-01-01 04:45:00,1744.019632034112,120.15,213.60000000000002,0.0,0.03822,2.33454
20,2023-01-01 05:00:00,1744.019632034112,120.15,1277.0072362161598,6.980646483616481e-08,0.03822,2.33454
21,2023-01-01 05:15:00,1744.019632034112,120.15,1277.0072362161602,6.980645446113097e-08,0.03822,2.33454
22,2023-01-01 05:30:00,1744.019632034112,120.15,1770.6409396241754,121.4956788236521,0.03822,2.33454
23,2023-01-01 05:45:00,1744.019632034112,120.15,1770.6409396241754,121.49567882365211,0.03822,2.33454
24,2023-01-01 06:00:00,1744.019632034112,120.15,1770.6409396241754,121.49567882365211,0.03822,2.33454
25,2023-01-01 06:15:00,1744.019632034112,120.15,1770.6409396241754,121.4956788236521,0.03822,2.33454
26,2023-01-01 06:30:00,1744.019632034112,120.15,1770.6409396241754,121.49567882365211,0.03822,2.33454
27,2023-01-01 06:45:00,1744.019632034112,120.15,1770.6409396241754,121.49567882365213,0.03822,2.33454
28,2023-01-01 07:00:00,1744.019632034112,120.15,1770.6409396241754,121.4956788236521,0.03822,2.33454
29,2023-01-01 07:15:00,1744.019632034112,120.15,1770.6409396241754,121.49567915947723,0.03822,2.33454
30,2023-01-01 07:30:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
31,2023-01-01 07:45:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
32,2023-01-01 08:00:00,1744.019632034112,120.15,1770.6409396241752,121.49567929048379,0.03822,2.33454
33,2023-01-01 08:15:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
34,2023-01-01 08:30:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
35,2023-01-01 08:45:00,1744.019632034112,120.15,1770.6409396241754,121.49567915501494,0.03822,2.33454
36,2023-01-01 09:00:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
37,2023-01-01 09:15:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
38,2023-01-01 09:30:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
39,2023-01-01 09:45:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
40,2023-01-01 10:00:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
41,2023-01-01 10:15:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
42,2023-01-01 10:30:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
43,2023-01-01 10:45:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
44,2023-01-01 11:00:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
45,2023-01-01 11:15:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
46,2023-01-01 11:30:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
47,2023-01-01 11:45:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
48,2023-01-01 12:00:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
49,2023-01-01 12:15:00,1744.019632034112,120.15,1770.6409396241754,121.4956788581257,0.03822,2.33454
