DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW
2020-07-01 00:00:00,1193.26062,1193.2606187452882
2020-07-01 00:15:00,1225.8977050000003,1225.897703894323
2020-07-01 00:30:00,1188.414062,1188.4140610950817
2020-07-01 00:45:00,1167.526857,1167.5268562997517
2020-07-01 01:00:00,1172.3750000000002,1172.374999484648
2020-07-01 01:15:00,1122.602536,1122.60253564221
2020-07-01 01:30:00,1142.749024,1142.749023774666
2020-07-01 01:45:00,1137.61426,1137.6142598759302
2020-07-01 02:00:00,1115.568848,1115.5688479500304
2020-07-01 02:15:00,1092.683104,1092.68310400184
2020-07-01 02:30:00,1089.8208,1089.8208000360803
2020-07-01 02:45:00,1079.749512,1079.749512056106
2020-07-01 03:00:00,1064.1093760000003,1064.1093760656831
2020-07-01 03:15:00,1048.104492,1048.1044920677148
2020-07-01 03:30:00,1065.6689440000002,1065.6689440641976
2020-07-01 03:45:00,1056.8183600000002,1056.8183600565355
2020-07-01 04:00:00,1046.423828,1046.4238280464767
2020-07-01 04:15:00,1046.7753920000002,1046.7753920350765
2020-07-01 04:30:00,1060.250976,1060.2509760230512
2020-07-01 04:45:00,1052.4931640000002,1052.4931640108405
2020-07-01 05:00:00,1043.4765640000005,1043.476563998769
2020-07-01 05:15:00,1055.926756,1055.926755987182
2020-07-01 05:30:00,1045.9834,1045.9833999765508
2020-07-01 05:45:00,1044.3183600000002,1044.318359967619
2020-07-01 06:00:00,1022.843748,1022.8437479601936
2020-07-01 06:15:00,1041.390624,1041.3906239542262
2020-07-01 06:30:00,1031.4091800000003,1031.409179949929
2020-07-01 06:45:00,1034.247072,1034.2470719478354
2020-07-01 07:00:00,1048.251952,1048.2519519475927
2020-07-01 07:15:00,1064.847656,1064.8476559491758
2020-07-01 07:30:00,1111.4746080000002,1111.4746079516317
2020-07-01 07:45:00,1137.39844,1137.3984399541405
2020-07-01 08:00:00,1173.1425760000002,1173.1425759559445
2020-07-01 08:15:00,1237.917972,1237.9179719563629
2020-07-01 08:30:00,1172.7949200000005,1172.794919954698
2020-07-01 08:45:00,1157.8300800000002,1157.8300799502902
2020-07-01 09:00:00,1172.728512,1172.7285119434614
2020-07-01 09:15:00,1238.664064,1238.6640639356217
2020-07-01 09:30:00,1208.957032,1208.9570319281158
2020-07-01 09:45:00,1229.873048,1229.8730479214587
2020-07-01 10:00:00,1211.208984,1211.2089839163043
2020-07-01 10:15:00,1243.68164,1243.6816399147187
2020-07-01 10:30:00,1291.166016,1291.1660159179894
2020-07-01 10:45:00,1222.8085920000003,1222.8085919265357
2020-07-01 11:00:00,1271.5429680000002,1271.5429679397337
2020-07-01 11:15:00,1294.8496120000002,1294.849611955777
2020-07-01 11:30:00,1300.7089840000003,1300.7089839737662
2020-07-01 11:45:00,1257.628904,1257.6289039936928
2020-07-01 12:00:00,1255.099612,1255.099612016362
2020-07-01 12:15:00,1300.521484,1300.5214840433705
2020-07-01 12:30:00,1280.201172,1280.201172075861
2020-07-01 12:45:00,1282.703124,1282.7031241143306
2020-07-01 13:00:00,1238.1015640000005,1238.101564159569
2020-07-01 13:15:00,1275.951172,1275.9511722125812
2020-07-01 13:30:00,1281.2480440000002,1281.2480442742697
2020-07-01 13:45:00,1246.3144560000003,1246.314456345073
2020-07-01 14:00:00,1267.542968,1267.5429684243782
2020-07-01 14:15:00,1245.8750000000002,1245.875000509706
2020-07-01 14:30:00,1216.9804680000002,1216.980468595371
2020-07-01 14:45:00,1239.347656,1239.347656670509
2020-07-01 15:00:00,1214.609376,1214.6093767262698
2020-07-01 15:15:00,1224.3125000000002,1224.3125007524916
2020-07-01 15:30:00,1203.26172,1203.2617207126707
2020-07-01 15:45:00,1219.035156,1219.03515649264
2020-07-01 16:00:00,1194.8125,881.9999999908517
2020-07-01 16:15:00,1214.1875,881.9999999912282
2020-07-01 16:30:00,1210.4375,881.9999999908323
2020-07-01 16:45:00,1195.421872,877.9999999908205
2020-07-01 17:00:00,1186.1250000000002,881.9999999903873
2020-07-01 17:15:00,1218.5507840000002,881.9999999907868
2020-07-01 17:30:00,1222.6367160000002,877.9999999911663
2020-07-01 17:45:00,1220.48048,881.9999999907662
2020-07-01 18:00:00,1202.82812,881.9999999903325
2020-07-01 18:15:00,1228.8242000000002,877.9999999911254
2020-07-01 18:30:00,1233.12112,881.999999990297
2020-07-01 18:45:00,1262.4374800000005,881.9999999910968
2020-07-01 19:00:00,1239.5586000000003,916.215343839248
2020-07-01 19:15:00,1256.5976400000002,913.6686763157438
2020-07-01 19:30:00,1266.8594,881.9999999910513
2020-07-01 19:45:00,1264.8398400000003,881.999999990642
2020-07-01 20:00:00,1260.64452,877.9999999901946
2020-07-01 20:15:00,1319.48828,881.9999999910046
2020-07-01 20:30:00,1291.80468,881.9999999901585
2020-07-01 20:45:00,1305.9961200000002,881.9999999909712
2020-07-01 21:00:00,1261.66796,1694.7320267291364
2020-07-01 21:15:00,1326.9882799999996,1775.4985560894702
2020-07-01 21:30:00,1301.61328,1779.3343357051822
2020-07-01 21:45:00,1279.96876,1771.4985560681394
2020-07-01 22:00:00,1273.4062400000005,1784.2252454011816
2020-07-01 22:15:00,1281.64452,1800.5799976643152
2020-07-01 22:30:00,1249.6758,1771.4985560911202
2020-07-01 22:45:00,1245.01172,1775.4985554695318
2020-07-01 23:00:00,1229.0117200000002,1762.934666135789
2020-07-01 23:15:00,1220.164673,1755.8042064905944
2020-07-01 23:30:00,1215.9248050000003,1752.925679591904
2020-07-01 23:45:00,1213.133667,1751.2198003192016
