DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW
2020-07-01 00:00:00,1193.26062,1193.2606198956223
2020-07-01 00:15:00,1225.8977050000003,1225.897704904497
2020-07-01 00:30:00,1188.414062,1188.4140619174727
2020-07-01 00:45:00,1167.526857,1167.5268569318423
2020-07-01 01:00:00,1172.375,1172.3749999457875
2020-07-01 01:15:00,1122.602536,1122.6025359585306
2020-07-01 01:30:00,1142.7490240000002,1142.7490239699932
2020-07-01 01:45:00,1137.61426,1137.6142599795114
2020-07-01 02:00:00,1115.568848,1115.5688479871733
2020-07-01 02:15:00,1092.6831040000002,1092.6831039931556
2020-07-01 02:30:00,1089.8208000000002,1089.820799997664
2020-07-01 02:45:00,1079.749512,1079.7495120009144
2020-07-01 03:00:00,1064.109376,1064.1093760031156
2020-07-01 03:15:00,1048.104492,1048.104492004462
2020-07-01 03:30:00,1065.668944,1065.6689440051289
2020-07-01 03:45:00,1056.81836,1056.818360005272
2020-07-01 04:00:00,1046.4238280000002,1046.4238280050258
2020-07-01 04:15:00,1046.775392,1046.7753920045068
2020-07-01 04:30:00,1060.2509760000005,1060.2509760038097
2020-07-01 04:45:00,1052.493164,1052.493164003006
2020-07-01 05:00:00,1043.476564,1043.476564002156
2020-07-01 05:15:00,1055.926756,1055.926756001307
2020-07-01 05:30:00,1045.9834000000003,1045.983400000497
2020-07-01 05:45:00,1044.3183600000002,1044.3183599997633
2020-07-01 06:00:00,1022.843748,1022.843747999128
2020-07-01 06:15:00,1041.390624,1041.3906239986038
2020-07-01 06:30:00,1031.40918,1031.4091799981975
2020-07-01 06:45:00,1034.247072,1034.2470719979103
2020-07-01 07:00:00,1048.2519519999998,1048.251951997744
2020-07-01 07:15:00,1064.847656,1064.8476559977005
2020-07-01 07:30:00,1111.474608,1111.4746079977865
2020-07-01 07:45:00,1137.39844,1137.3984399980045
2020-07-01 08:00:00,1173.142576,1173.1425759983586
2020-07-01 08:15:00,1237.917972,1237.917971998854
2020-07-01 08:30:00,1172.79492,1172.794919999497
2020-07-01 08:45:00,1157.83008,1157.8300800002924
2020-07-01 09:00:00,1172.728512,1172.7285120012405
2020-07-01 09:15:00,1238.664064,1238.6640640023857
2020-07-01 09:30:00,1208.9570320000005,1208.957032003762
2020-07-01 09:45:00,1229.873048,1229.8730480054185
2020-07-01 10:00:00,1211.2089840000003,1211.2089840074138
2020-07-01 10:15:00,1243.68164,1243.6816400098194
2020-07-01 10:30:00,1291.166016,1291.1660160127117
2020-07-01 10:45:00,1222.808592,1222.808592016115
2020-07-01 11:00:00,1271.542968,1271.5429680199836
2020-07-01 11:15:00,1294.849612,1294.8496120242426
2020-07-01 11:30:00,1300.708984,1300.708984028768
2020-07-01 11:45:00,1257.628904,1257.628904033406
2020-07-01 12:00:00,1255.099612,1255.0996120379452
2020-07-01 12:15:00,1300.521484,1300.521484042054
2020-07-01 12:30:00,1280.201172,1280.2011720451992
2020-07-01 12:45:00,1282.703124,1282.7031240464555
2020-07-01 13:00:00,1238.1015640000005,1238.1015640462997
2020-07-01 13:15:00,1275.9511720000005,1275.9511720452815
2020-07-01 13:30:00,1281.2480440000002,1281.2480440428526
2020-07-01 13:45:00,1246.3144560000003,1246.3144560348317
2020-07-01 14:00:00,1267.5429680000002,1267.5429679593758
2020-07-01 14:15:00,1245.875,1245.8749999554752
2020-07-01 14:30:00,1216.980468,1216.9804679586714
2020-07-01 14:45:00,1239.347656,1239.3476559613482
2020-07-01 15:00:00,1214.609376,1214.6093759587204
2020-07-01 15:15:00,1224.3125000000002,1224.312499947505
2020-07-01 15:30:00,1203.26172,1203.261719921292
2020-07-01 15:45:00,1219.035156,1219.035155335892
2020-07-01 16:00:00,1194.8125000000002,882.0000000010108
2020-07-01 16:15:00,1214.1875,882.0000000014238
2020-07-01 16:30:00,1210.4375000000002,882.0000000010025
2020-07-01 16:45:00,1195.421872,878.0000000009942
2020-07-01 17:00:00,1186.125,882.0000000006795
2020-07-01 17:15:00,1218.5507840000002,882.0000000009716
2020-07-01 17:30:00,1222.636716,878.0000000013647
2020-07-01 17:45:00,1220.48048,882.0000000006582
2020-07-01 18:00:00,1202.82812,862.4482240283387
2020-07-01 18:15:00,1228.8242000000002,821.7589573561468
2020-07-01 18:30:00,1233.12112,822.2387094639514
2020-07-01 18:45:00,1262.43748,833.0790305573385
2020-07-01 19:00:00,1239.5586,819.0861636529664
2020-07-01 19:15:00,1256.59764,816.9008586144175
2020-07-01 19:30:00,1266.8594,820.106781139988
2020-07-01 19:45:00,1264.83984,818.9849425438812
2020-07-01 20:00:00,1260.64452,822.0106450872556
2020-07-01 20:15:00,1319.4882800000005,841.6030519203281
2020-07-01 20:30:00,1291.80468,830.8158783938609
2020-07-01 20:45:00,1305.99612,836.3641876031729
2020-07-01 21:00:00,1261.66796,858.9582995994339
2020-07-01 21:15:00,1326.9882799999996,842.8288329905985
2020-07-01 21:30:00,1301.61328,817.2951339578519
2020-07-01 21:45:00,1279.96876,819.5184149867371
2020-07-01 22:00:00,1273.40624,820.5904186268815
2020-07-01 22:15:00,1281.6445200000005,829.3530919168196
2020-07-01 22:30:00,1249.6758,820.7728655027012
2020-07-01 22:45:00,1245.01172,819.3694132429271
2020-07-01 23:00:00,1229.01172,1344.0552149658638
2020-07-01 23:15:00,1220.1646730000002,1339.7700439754751
2020-07-01 23:30:00,1215.9248050000003,1322.035950126505
2020-07-01 23:45:00,1213.133667,1317.911554221717
