DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW,electricity_TOU,electricity_demand1
2021-07-02 00:00:00,106.43863113896096,80.20707084811225,0.03822,2.33454
2021-07-02 01:00:00,107.7734358828182,74.3671239631592,0.03822,2.33454
2021-07-02 02:00:00,107.06760216385662,81.90344284905727,0.03822,2.33454
2021-07-02 03:00:00,90.2567446794392,74.28093969827563,0.03822,2.33454
2021-07-02 04:00:00,80.33058542087886,80.37898456755329,0.03822,2.33454
2021-07-02 05:00:00,58.35880953089501,58.53609889607591,0.03822,2.33454
2021-07-02 06:00:00,80.38349295507551,74.53737881032902,0.03822,2.33454
2021-07-02 07:00:00,58.47992203814479,90.30621366198147,0.03822,2.33454
2021-07-02 08:00:00,74.43755748436648,74.43580317866302,0.03822,2.33454
2021-07-02 09:00:00,47.94964753868955,81.99360554429413,0.03822,2.33454
2021-07-02 10:00:00,74.59111426865474,74.56465644815111,0.03822,2.33454
2021-07-02 11:00:00,74.7335966451448,74.70516634650384,0.03822,2.33454
2021-07-02 12:00:00,74.86328890734512,74.82886188964275,0.03822,2.33454
2021-07-02 13:00:00,74.87462845750997,58.88769603785278,0.03822,2.33454
2021-07-02 14:00:00,59.00216247500031,74.87794750814747,0.03822,2.33454
2021-07-02 15:00:00,74.78038350921005,74.74660882436555,0.03822,2.33454
2021-07-02 16:00:00,58.5513628668479,90.30621366304976,0.03822,2.33454
2021-07-02 17:00:00,47.79421623461083,81.5873847643536,0.03822,2.33454
2021-07-02 18:00:00,112.5345810979245,73.93238885044269,0.03822,2.33454
2021-07-02 19:00:00,47.806768881180105,86.38767202766022,0.03822,2.33454
2021-07-02 20:00:00,90.41869415218726,90.30621363257804,0.03822,2.33454
2021-07-02 21:00:00,79.90418158575795,90.30621366219933,0.03822,2.33454
2021-07-02 22:00:00,113.93646622995728,81.36385378590606,0.03822,2.33454
2021-07-02 23:00:00,87.63063881843247,88.27011958288665,0.03822,2.33454
