,DateTime,baseline_grid_to_plant_kW,baseline_treatment_flow_m3_hr,flexible_grid_to_plant_kW,flexible_treatment_flow_m3_hr,electricity_TOU,electricity_demand1,electricity_demand2,electricity_demand3
0,2023-07-01 00:00:00,1744.019632034112,120.15,1870.5159063873018,126.40600377626838,0.09816,0.0,0.0,20.7
1,2023-07-01 00:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
2,2023-07-01 00:30:00,1744.019632034112,120.15,1870.5159063873018,126.40600377626838,0.09816,0.0,0.0,20.7
3,2023-07-01 00:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
4,2023-07-01 01:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
5,2023-07-01 01:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
6,2023-07-01 01:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
7,2023-07-01 01:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
8,2023-07-01 02:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
9,2023-07-01 02:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
10,2023-07-01 02:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
11,2023-07-01 02:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
12,2023-07-01 03:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
13,2023-07-01 03:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
14,2023-07-01 03:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
15,2023-07-01 03:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
16,2023-07-01 04:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
17,2023-07-01 04:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
18,2023-07-01 04:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
19,2023-07-01 04:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
20,2023-07-01 05:00:00,1744.019632034112,120.15,1870.5159063873018,126.40600377626838,0.09816,0.0,0.0,20.7
21,2023-07-01 05:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
22,2023-07-01 05:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
23,2023-07-01 05:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
24,2023-07-01 06:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
25,2023-07-01 06:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
26,2023-07-01 06:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
27,2023-07-01 06:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
28,2023-07-01 07:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
29,2023-07-01 07:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
30,2023-07-01 07:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
31,2023-07-01 07:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
32,2023-07-01 08:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
33,2023-07-01 08:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
34,2023-07-01 08:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
35,2023-07-01 08:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
36,2023-07-01 09:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
37,2023-07-01 09:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
38,2023-07-01 09:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
39,2023-07-01 09:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
40,2023-07-01 10:00:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
41,2023-07-01 10:15:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
42,2023-07-01 10:30:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
43,2023-07-01 10:45:00,1744.019632034112,120.15,1870.5159063873016,126.40600377626836,0.09816,0.0,0.0,20.7
