DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW,electricity_TOU,electricity_demand1
2021-07-02 00:00:00,106.43863113896096,108.35050196145755,0.12955,8.03
2021-07-02 01:00:00,107.7734358828182,108.73711689614544,0.12955,8.03
2021-07-02 02:00:00,107.06760216385662,108.60512810819272,0.12955,8.03
2021-07-02 03:00:00,90.2567446794392,92.3322792497028,0.12955,8.03
2021-07-02 04:00:00,80.33058542087886,74.30493826965704,0.12955,8.03
2021-07-02 05:00:00,58.35880953089501,92.27354171727752,0.12955,8.03
2021-07-02 06:00:00,80.38349295507551,114.08979428530448,0.12955,8.03
2021-07-02 07:00:00,58.47992203814479,80.16442564313043,0.12955,8.03
2021-07-02 08:00:00,74.43755748436648,80.16756236339353,0.12955,8.03
2021-07-02 09:00:00,47.94964753868955,74.22832604523292,0.12955,8.03
2021-07-02 10:00:00,74.59111426865474,74.35528941082597,0.12955,8.03
2021-07-02 11:00:00,74.7335966451448,74.4952866963829,0.12955,8.03
2021-07-02 12:00:00,74.86328890734512,74.62433598849343,0.12955,8.03
2021-07-02 13:00:00,74.87462845750997,58.75743601679002,0.12955,8.03
2021-07-02 14:00:00,59.00216247500031,74.67326898428654,0.12955,8.03
2021-07-02 15:00:00,74.78038350921005,74.55219940655283,0.12955,8.03
2021-07-02 16:00:00,58.5513628668479,47.92680773310164,0.19809,8.03
2021-07-02 17:00:00,47.79421623461083,47.626083647323455,0.19809,8.03
2021-07-02 18:00:00,112.5345810979245,47.36963772241717,0.19809,8.03
2021-07-02 19:00:00,47.806768881180105,47.54340452113871,0.19809,8.03
2021-07-02 20:00:00,90.41869415218726,47.380950666602,0.19809,8.03
2021-07-02 21:00:00,79.90418158575795,90.42468892626424,0.12955,8.03
2021-07-02 22:00:00,113.93646622995728,98.24711761574048,0.12955,8.03
2021-07-02 23:00:00,87.63063881843247,98.86058979621002,0.12955,8.03
